Empresa,Relato
Kalunga,"Comprei o Office Home 2024 1 disp Lic EPXXXXX-X6800 Microsoft pelo site da Kalunga e A Microsoft não deixa eu fazer Download do produto e nem ativar o produto por isso estou solicitando o cancelamento da comprar e o extorno conforme o Art. 49. O consumidor pode desistir do contrato, no prazo de 7 dias a contar de sua assinatura ou do ato de recebimento do produto ou serviço, sempre que a contratação de fornecimento de produtos e serviços ocorrer fora do estabelecimento comercial, especialmente por telefone ou a domicílio. Parágrafo único."
Serasa Experian,"Por meio desta solicitação, solicito a exclusão do meu CPF do cadastro do SERASA referente a toda e qualquer dívida prescrita. Conforme a base legal estabelecida pelo Superior Tribunal de Justiça e pelo Código de Defesa do Consumidor. Observo que, mesmo com essa determinação legal, o SERASA criou o ""feirão limpa nome"", onde são lançadas ofertas de dívidas prescritas de até 2 anos atrás, que podem impactar negativamente o score dos consumidores. No entanto, o SERASA não pode intermediar esse tipo de cobrança, muito menos impactar o score. Diante disso, solicito a imediata exclusão do meu CPF do cadastro do SERASA referente a dívidas prescritas, em cumprimento ao artigo 43, parágrafo 5 do Código de Defesa do Consumidor e ao artigo 206, 5 do Novo Código Civil. Ressalto que os cadastros e dados de consumidores devem ser objetivos, claros, verdadeiros e em linguagem de fácil compreensão, conforme estabelecido no artigo 43, parágrafo 1 do Código de Defesa do Consumidor. Ademais, se estiver prescrito o direito de cobrança da dívida, não podem ser fornecidas informações negativas pelos cadastros de restrição ao crédito, conforme estabelecido no mesmo parágrafo. Aguardo uma resposta de confirmação da exclusão do meu CPF do cadastro do SERASA em relação a dívidas prescritas em um prazo razoável de tempo."
Lojas Colombo,Solicito a possibilidade de com valor da cabeceira comprar bicicleta ergométrica pagando a diferença
Smiles,"REQUERI O CANCELAMENTO OU REMARCAÇÃO E ESTÃO COBRANDO VALORES ABSURDOS. Comprei 4 passagens aéreas: 3 adultos e 1 criança. A data de ida e volta são: 13/10/2024 e 20/10/2024, com origem: Aeroporto de Guarulhos e chegada: Aeroporto de Navegantes (Balneário Camboriú). Adquiri as passagens com milhas o total de 96.000 milhas + 31.360 milhas de taxa de embarque. Ocorre que, em razão de questões pessoais, tentei cancelar ou remarcar as datas, porém esta sendo cobrado R$ 300,00 por pessoa em cada trecho em caso de remarcação e R$ 400,00 por pessoa em caso de cancelamento. Pasmem! Para remarcar as passagens para o dia 22 a 29/05/2025 esta sendo cobrado : ""Detalhes da nova compra: Passagens Total 4 viajanteskeyboard_arrow_down 106.000 milhas + R$ 0,00 Taxa de embarque Total4 viajanteskeyboard_arrow_down 0 milhas + R$ 306,36 Total da nova compra 106.000 milhas + R$ 306,36 3 pessoas adultas, 1 criança Detalhes da remarcação: Taxa de remarcação R$ 1.800,00 Valor a ser reembolsado 21.360 milhas Total a pagar 0 milhas + R$ 2.706,36 3 pessoas adultas, 1 criança"" Tal postura, vai de encontro ao Código de Defesa do Consumidor, vejamos: Isso vai contra aos direitos do consumidor e quero meu reembolso de, no mínimo, 90% do valor assim como determinam o Código Civil, o Código do Consumidor, as portarias da ANAC e as jurisprudências provindas de juízes federais! ART. 51. SÃO NULAS DE PLENO DIREITO, ENTRE OUTRAS, AS CLÁUSULAS CONTRATUAIS RELATIVAS AO FORNECIMENTO DE PRODUTOS E SERVIÇOS QUE: (.) II - SUBTRAIAM AO CONSUMIDOR A OPÇÃO DE REEMBOLSO DA QUANTIA JÁ PAGA, NOS CASOS PREVISTOS NESTE CÓDIGO; Portaria da ANAC n. 676/2000, a qual estabelece em seu art. 7, merecendo especial atenção seu parágrafo primeiro: ART. 7 O PASSAGEIRO QUE NÃO UTILIZAR O BILHETE DE PASSAGEM TERÁ DIREITO, DENTRO DO RESPECTIVO PRAZO DE VALIDADE, À RESTITUIÇÃO DA QUANTIA EFETIVAMENTE PAGA E MONETARIAMENTE ATUALIZADA, CONFORME OS PROCEDIMENTOS A SEGUIR"
Equatorial Piauí,Tinha um crédito em minha instalação desejo sabe se já houve todo o lançamento ou se ainda tem a receber
Caixa Econômica Federal,"Paguei o boleto do fies referente 11/11/2024 no dia 22/10/2024, no aplicado do fies, o saldo devedor era de 1.500 e alguns centavos, porém um dia após o saldo ao invés de abater, subiu para 1.601, 32. Nenhum dos atendentes conseguiram me explicar o que aconteceu. Conversei ontem no sac da caixa com o Davison e ele disse que no sistema já constava o meu pagamento, e que o valor era de 1.270,40 e que o valor mudaria mas até o momento ainda está em 1.601,35. Gostaria de uma solução pois não tenho condições de pagar a mais"
Smiles,"Prezados, boa tarde. Considerando que o meu trabalho na modalidade remoto foi aprovado em 16/10/2024. Venho por meio deste verificar a possibilidade do cancelamento das minhas reservas sem custos e com devoluções das taxas de emissão. Caso as milhas voltem expiradas, gostaria de pedir para que se tenha dois meses de validade dessas milhas que eu possa emitir uma outra passagem. Reserva para cancelamento: ESCRCI"
Shopee Brasil,"Quero recuperar minha conta, eu perdi acesso a todos os dados, preciso de ajuda"
Latam Airlines (Tam),"Gente, é incrível como não consigo contato com um único ser humano desta empresa para tirar uma simples dúvida, por isso estou apelando novamente para o portal do consumidor. Passei 27min numa gravação esperando alguém me atender e a ligação caiu. Tenho um voo na segunda, 28/10 para um evento que iria em SP. Porém, tivemos um problema na minha credencial e eu não vou mais poder participar do evento e não vou mais viajar. Na mesma reserva tem outra pessoa, mas ela vai seguir normal com a viagem, apenas eu não irei."
Latam Airlines (Tam),"Olá! Comprei uma passagem pela Latam no dia 12/10, porém 5 dias depois, especificamente em 17 de outubro uma árvore caiu no meu telhado devidos as fortes chuvas que tiveram em SP. Todas as economias que guardei pra viagem tive que usar pra consertar o telhado, sendo assim entrei em contato com Latam para solicitar o reembolso por exceção e, infelizmente, minha solicitação foi negada. Segue um PDF em anexo com as imagens do corpo de bombeiros retirando a árvore, tenho vídeo também mas não consegui anexar devido ao tamanho."
Banco Santander Cartões,"Não consigo ter meu cartão de credito, msm eu pagando minhas contas. Poderia pelo menos liberar meu credito."
Banco Itaú Unibanco,"Prezados: Venho por meio deste solicitar a retirada do meu nome do REGISTRATO. recentemente ao consultar meu extrato no registrato, identifiquei a presença de registros de operações que já foram devidamente liquidadas e que não condizem com minha atual situação financeira.Esses registros estão causando transtornos indevidos e afetando negativamente minha análise de crédito junto a instituições financeiras estando em dia.Solicito que seja realizado uma revisão completa desses registros  e que os dados sejam atualizados de forma a refletir com precisão a minha situação financeira atual.Peço, ainda, que esta solicitação seja tratada com urgência para evitar maiores danos e transtorno. Estou à disposição para fornecer qualquer documentação adicional que seja necessária para o processamento desta reclamação .  Agradeço a atenção e aguardo um retorno o mais breve possível. DADOS PESSOAIS: NOME COMPLETO: Cilsa Aparecida de Sousa Crecencio  CPF: 627.535.091.15 ENDEREÇO: Avenida Fortaleza bairro jardim bem viver TELEFONE: (66) 992355924 E MAIL: XXXXXXXXXXX@XXXXX.XXX"
Hurb - Hotel Urbano,"Prezados, boa tarde! No mês de Junho de 2023, devido a vários problemas gerados pelo HURB, pós pandemia, optei por dar um voto de confiança a empresa e converti pedidos em créditos, mantendo o vínculo, que não deixaram de ser valores investidos na referida empresa, totalizando R$732,68 (Setecentos e trinta e dois reais e sessenta e oito centavos), referente aos pedidos de números: 10687648, 10688369, 10688404 e 10690171. Ocorre que devido a grande dificuldade de atendimento por todos os canais naquele ano, optei por tentar utilizar os créditos, não prosperando por questões particulares, porém, os mesmos permaneciam no histórico. Em junho de 2024, percebi que os valores estavam sendo excluídos do site, ocasião em que tentei desesperadamente contato, sem sucesso, obtendo êxito, somente em julho 2024, ocasião em que prorrogaram por um pequeno período somente parte dos créditos, sendo a prorrogação de somente R$ 539,56 (quinhentos e trinta e nove reais e cinquenta e seis centavos). Não restando pacotes do meu interesse e não conseguindo postergar tal situação, PERDI todos os meus valores investidos em confiança."
Serasa Experian,"Meu nome foi consultado pela EMPRESA LINDAURA PUTIM DE PAULA XXX.XXX.XXX-XX na data 10/09/2021, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA LH1003 SERVICOS DE DADOS LTDA.na data 19/10/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA SMART TV TECNOLOGICA LTDA - ME na data 05/08/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA MAGAZINE LUIZA S/A na data 27/07/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA LH1003 SERVICOS DE DADOS LTDA na data 08/07/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA GRPQA LTDA na data 11/06/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO na data 01/06/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA BANCO SANTANDER (BRASIL) S.A. na data 23/05/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA MIDWAY S.A.- CREDITO, FINANCIAMENTO E INVESTIMENTO na data 20/04/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA 99PAY INSTITUICAO DE PAGAMENTO S.A na data 15/01/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA SHPP BRASIL INSTITUICAO DE PAGAMENTO E SERVICOS DE PAGAMENTOS LTDA na data 04/01/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA BANCO SANTANDER (BRASIL) S.A na data 26/12//2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA LH1003 SERVICOS DE DADOS LTDA na data 03/10/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA TIAGO ROSEIRA DE OLIVEIRA XXX.XXX.XXX-XX na data 02/10/2023, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA NML REPRESENTACOES COMERCIAIS LTDA - ME na data 24/07/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA NML REPRESENTACOES COMERCIAIS LTDA - ME na data 24/07/2024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA PROVI SOLUCOES E SERVICOS LTDA na data 18/07/024, todavia em nenhum momento isso foi autorizado por mim. Meu nome foi consultado pela EMPRESA CREDSYSTEM INSTITUICAO DE PAGAMENTO LTDA na data 06/11/2019, todavia em nenhum momento isso foi autorizado por mim."
123 Milhas,"Comprei um pacote de viagens para Gramado, que inclui passagem aérea e hospedagem para os dias 01/02/2024 a 04/02/2024, da linha ""promo"". Como se sabe, todos os pacotes de viagem da linha promo fora cancelados unilateralmente pela 123 milhas. Não recebi reembolso dos valores pagos, tão pouco fora oportunizado realizar quaisquer viagem. Informações e número do pedido estão anexo a esta reclamação."
Credsystem,"Foi solicitado o cancelamento do cartão PONTO MIX-CREDSYSTEM na presente data, contudo, não foi disponibilizado protocolo de cancelamento e o atendimento com o atendente."
Voepass Linhas Aéreas (antiga Passaredo),"Tive meu voo (2Z 2338) de Ribeirão Preto para o Rio de Janeiro cancelado, já quando eu estava na área de embarque. Não conseguiram relocar os passageiros para nenhum outro voo, nem no mesmo dia, nem no dia seguinte. Também não conseguiram disponibilizar ônibus para transporte até o RJ. Eu estava indo para um congresso. Além de perder a viagem e o congresso (cuja inscrição doi de R$2.100,00), tive também custos com ida e volta ao aeroporto (Uber)."
RGE - Rio Grande Energia,"No dia 08/10/2024 às 20:35, realizei a solicitação de desligamento de energia, pelo motivo de mudança de endereço. Nesta mesma solicitação eu já informei os dados cadastrais do novo proprietário, que comprou meu antigo imóvel. Recebi uma confirmação desta solicitação, conforme protocolo 1619309811 e no dia 10/10/2024 eu recebi a CONTA DE CONSUMO FINAL, a qual já foi paga no mesmo dia. Entrando no site da empresa ainda aparece o meu nome e o meu CPF como titular do endereço e eu não consigo saber se realmente foi alterado ou se meu CPF ainda está vinculado. Tenho receio de que os novos moradores continuem utilizando o meu cadastro e consumindo em meu nome."
Serasa Experian,"Conforme decisão do STJ, dividas com mais de 5 anos não podem ser mais cobradas Solícito que dêem baixa das dividas que aparecem no meu nome lá no site do Serasa"
Latam Airlines (Tam),"Srs.: tenho um voo programado do Galeão (GIG) para Curitiba (CWB) para próxima segunda-feira, 28OUT. No entanto, vi que o trecho GIG-GRU é operado pela companhia aérea VOEPASS."
Drogaria São Paulo,"Solicitei a compra de um medicamento na oferta comprando duas caixas vem uma de 0,00 reais no dia de hoje 24/10/2024 com entrega imediata em duas horas. Acontece que, para minha surpresa o entregador não entregou a minha compra na minha residência e sim em um passeio com trilha para pessoas portadoras de deficiencia visual e uns ferros bem parecidos com a estação da lapa onde fica uma farmacia da rede em Salvador. Já comprei outros medicamentos com a farmacia e foram entregues. Quero meu medicamento com a oferta entregue na minha residencia. Fiquei mais de 1 hora no telefone aguardando atendimento no numero 40033393 e quando chegava minha vez, não tinha atendente para realizar o atendimento, forçando o atendimento pelo numero do whatsapp 40033393."
Omni Financeira,"Banco me ofereceu um acordo de quitação de dívida , apos realizar o pagamento , meu nome foi pra prejuizo no banco Central , no qual esta me prejudicando bastante para conseguir credito no mercado"
Latam Airlines (Tam),"Fiz uma viagem para Recife onde comprei as passagens com antecedência em julho e paguei mais caro nas tarifas para ter direito a poltronas confortáveis pois foi a primeira viagem de avião com a minha filha de 04 anos de idade! Na ida fui nas poltronas corretas,mas infelizmente na volta ontem dia 19/10/2024,o transtorno começou no check-in quando fui avisado de última hora pela funcionária da Latam que talvez eu e a minha filha poderíamos nos voluntariar para irmos no voo da gol,pois o meu voo da Latam que comprei com antecedência já estava lotado. Por fim quando aceitei e a funcionária da Latam disse que eu teria um voucher de 400 reais e minha filha também para irmos para gol. De repente com o voo quase saindo a funcionária Marceline mandou que corressemos pois o voo da Latam já estava saindo e ela ia nos alocar no voo. Quando entrei no meu voo 4594,cadê as poltronas que eu paguei tarifa mais cara para voltar confortável com minha filha?Estavam ocupadas e eu não fui avisado previamente dessa mudança e nem recebi ressarcimento por isso. Me almoçaram no avião em um lugar super desconfortável. Eu e minha filha voltamos nas últimas poltronas,sem janela,no calor e em poltronas apertadas,não tinha como reclinar a poltrona. Fiquei super chateado pois paguei para ter um pouco mais de conforto com a minha filha e voltei em um lugar péssimo. Estou me sentindo lesado,pois paguei por um conforto e vim em um lugar péssimo sem aviso prévio. Espero que tenham o mínimo de consideração e vejam o meu caso,pois não acho justo pagar por assentos confortáveis e voltar em outro lugar completamente diferente do que escolhi.Paguei pelas poltronas 3E e 3F e voltamos nas poltronas 30 no final do avião. Atenciosamente. Walter Pereira da Silva"
Latam Pass,"Venho por meio desta registrar uma reclamação formal contra o programa de fidelidade LATAM Pass, devido ao não cumprimento de uma decisão judicial que ordena a retirada de uma restrição no meu perfil de usuário, especificamente a limitação que impede a emissão de bilhetes aéreos para mais de 24 passageiros distintos durante o ano calendário. Em decisão liminar favorável ao processo nº XXXXX-X3.2024.8.17.9000 (decisão em PDF anexado a esta reclamação), emitida pela 3ª Câmara Cível - Recife, foi determinada a suspensão da cláusula que limita a quantidade de beneficiários que poderiam ser indicados pelos usuários dentro de um determinado período. A decisão foi proferida considerando os princípios do Código de Defesa do Consumidor e da justa expectativa dos usuários do programa de fidelidade, reconhecendo as milhas como um direito de propriedade dos consumidores, que não deve ser restringido arbitrariamente. Apesar da decisão judicial clara, ao tentar emitir bilhetes aéreas, o sistema do programa LATAM Pass não permite que eu prossiga com a emissão do bilhete, apresentando um erro com imagem também anexa a esta reclamação, violando diretamente a ordem judicial."
Serasa Experian,"Meu nome foi consultado pela empresa BANCO SANTANDER (BRASIL) S.A., nas datas: 26/11/2023, 02/01/2023, 19/05/2023, 20/05/2023, 23/10/2024, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa BANCO PAN S.A., na data 11/10/2024, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa BRB BANCO DE BRASÍLIA SA, nas datas: 05/06/2023, 12/05/2024, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa BANCO VOTORANTIM S.A., nas datas: 20/05/2023, 12/05/2024, 23/10/2024, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa BANCO BRADESCO FINANCIAMENTOS S.A., na data 23/10/2024, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa DMCARD PROCESSAMENTO DE DADOS E CENTRAL DE ATENDIMENTO LTDA, na data 23/11/2023, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO, na data 04/10/2023, no entanto, em nenhum momento autorizei. Meu nome foi consultado pela empresa BANCO GM S.A., na data 20/05/2023, no entanto, em nenhum momento autorizei."
Nubank,"PRECISO RECUPERAR MINHA LINHADE CREDITO, POIS O MEU RATING NO BANCO ESTA BAIXO ME AJUDE"
Facebook / Instagram,"Olá, boa tarde! Meu instagram foi hackeado, o hacker mudou o e-mail e telefone da conta. Além disso, excluiu o login pelo meu celular, adicionando autenticação de dois fatores. Seguem dados solicitados: url: https://www.instagram.com/alexandrefelipejr/ e-mail: XXXXXXXXXXX@XXXXX.XXX nome de usuário: @alexandrefelipejr e-mail alternativo: XXXXXXXXXXX@XXXXX.XXX Desde já, agradeço."
Hurb - Hotel Urbano,Cadê meu dinheiro empresa caloteira?
Livelo,"Bom tarde. Sou cliente da livelo e assinante do clube top. No mês de julho tomei a decisão de cancelar o meu clube, pois achava que não estava compensando pagar o valor de R$ 799,00. Ocorre que no mesmo dia (26/07/2024) vi que estava tendo uma promoção para quem desistisse do cancelamento. A promoção se chamava CONTINUE NO CLUBE e prometia dar 120% de bônus extras para quem desistisse do cancelamento do plano no período de 01/07/2024 a 31/07/2024. No caso o participante receberia 10% de bônus mensalmente por 1 ano até o limite de 120% de bônus. Dizia, ainda, que o primeiro bônus seria creditado em 60 dias. Ocorre que, já se passaram mais de 2 meses e nada desses bônus. Cheguei a entrar em contato com a livelo pelo chat no domingo(protocolo 18342184 ) e a atendente me disse que os pontos bônus da promoção cairiam junto com a parcela do dia 18. A parcela foi paga e nada de entrar a bonificação, somente entrou os 20k pontos do clube normal, mais 7,333k referente ao bônus que ganhei na época da adesão e os 10k do bônus de permanência. O bonus mesmo da promoção CONTINUE NO CLUBE LIVELO, não foi pago. Em anexo regulamento da promoção, bem como e-mail com pedido de cancelamento em 26 de julho de 2024. Aguardo retorno e explicações da livelo"
Serasa Experian,"Na data de hoje 24 de outubro recebi um SMS do serasa comunicando que meus dados foram expostos na dark web, como se tratava de mensagem SMS eu não quiz abrir o link que chegou junto com a mensagem, fui verificar no próprio aplicativo, e pasme realmente era verdade. Mandarei em anexo as informações complementares.."
Latam Pass,"Realizei uma compra de pontos do programa Latam Pass na promoção de aniversário, com desconto de 55%. Porém ao tentar utilizar os pontos para compra de passagens aéreas, verifiquei que a compra com dinheiro, sem pontos, se torna significantemente mais barata. Tentei cancelar as compra dos pontos, que havia sido feita minutos antes, porém o site não oferece essa opção e não há suporte eficiente ao consumidor."
Samsung,"Solicitei reparo pela segunda vez em meu ar condicionado de 9000 btus, adquirido da samsung. Primeiramente foi realizado o conserto da serpentina e, agora, foi negado o conserto do ar por supostamente estar fora do prazo da garantia. Comprei 4 aparelhos para minha casa, sendo que 3 apresentaram problemas até o momento, este específico é o AR09BVFAAWKNAZ S/N 02URPXCT902720F, que está no quarto do meu filho de 4 meses sem funcionar. A conveniada em campo grande solicita 90 reais pela assistência técnica e, sequer constata que o problema não é no compressor. Gostaria que a assistÊncia fosse prestada, pois a qualidade dos produtos é péssima!!"
Americanas.com,"Fiz uma compra na loja Americanas.com de 8 itens somando um total de R$ 5.451,34, onde paguei R$ 5.130,00 em vale presente e R$ 321,34 no cartão de crédito, no dia 22/10/24 o produto guarda sol grande Praia Lazer 2,40m Mor verde comprado por R$ 229,03 na Americanas pela loja PetLazer foi cancelado por não ter o produto mais, no site da Americanas este produto tem apenas mais um outro fornecedor por um preço o dobro deste, como não fui eu que cancelei o pedido, solicitei estorno do valor, uma vez que já adquiri o produto em outro lugar, fiz um e-mail para solicitação do estorno do cartão, hoje dia 24/10 recebi uma ligação da Americanas pelo numero XXX.XXX.XXX-XX na qual a atendente não poderia fazer o estorno do pagamento apenas disponibilizar o valor para usar na loja, que não aceitei."
Lojas Marisa,"Em 24/10/2024 verifiquei a o extrato do SCR na qual constava cobrança do serviço cartão de credito em atraso no valor 620,27 que por mim não é reconhecido, pois eu ja efetuei a quitação por uma empresa parceira deles que na epoca em questao efetuaram a negociação da divida."
Gol Linhas Aéreas,"Boa tarde, sou cliente há muitos anos, na qual sou muito satisfeita e realizada, tenho um ÓTIMO RELACIONAMENTO com a GOL e sempre é minha primeiro opção nas minhas viagens. Já passei por diversas situações de alteração/cancelamento de voo na companhia mas sempre entendi a situação e aceitava trechos ofertados ora pelo CALL CENTER ora pelo próprio site da companhia, muitas vezes mais longo que o voo original que eu havia me programado e emitido. Hoje me encontro do outro lado numa situação que gostaria muito de ser assistida pela companhia, tenho uma reserva OBNGCJ para o dia 02/11 e preciso antecipar o voo e embarcar dia 31/10 por motivo de saúde."
iFood,"Em 18/10 fiz um pedido pelo aplicativo, com pagamento via Pix. Porém, o estabelecimento não tinha os itens em estoque e acabou cancelando. Já é dia 24/10 e não recebi o devido estorno do valor pago por produtos que NÃO FORAM ENTREGUES. Relembro que a devolução do meu dinheiro deve ser realizada pelo mesmo modo como paguei - ou seja, via Pix, uma transação imediata. Tentei contato com o iFood via aplicativo, porém não há resposta até o momento. Ainda, o aplicativo indicava que o reembolso seria feito em 24h, o que configura, agora, PROPAGANDA ENGANOSA."
Serasa Experian,Limpeza de consulta em meu nome
Midway (Riachuelo),"Em 24/10/2024 verifiquei a o extrato SCR na qual constava cobrança do serviço de cartão de credito no valor 725,22 que por mim não é reconhecido, pois eu já efetuei a quitação deste debito por uma empresa parceira que na epoca em questão efetuou a compra desta divida"
Smiles,"Tenho uma reserva com o viagem fácil para minha família no final de ano em que os voos sofreram alterações substanciais. Consequentemente, eles desistirão da viagem. Em contato com a equipe Smiles neste portal anteriormente (2024.04/XXX.XXX.XXX-XX), foi informado que seria possível a devolução da taxa de R$120,00 mediante solicitação neste canal; o que faço neste momento."
Caixa Residencial,Solicito que me enviem propostas de renegociações para todas as dívidas vinculadas ao meu CPF. Ou se possivel transferir as faturar em aberto para o final do financiamento para que eu consiga prosseguir mensal com as estão sendo gerada pois agora minha vida financeira está mais estável. Acredito que sejam 2 parcelas.
QuintoAndar,"Assunto é venda de apartamento mas nas opções só tinha aluguel de imóvel . Estou vendendo um apartamento, o quinto andar conseguiu o comprador . Assinei a proposta dia 01 de outubro e o comprador pagou o sinal e a comissão dia 04 , sendo o restante financiado .Consta no contrato assinado que o quinto andar deposita o valor do sinal / entrada no quinto dia útil após fim da primeira etapa, diligências do vendedor ( aprovada em uma semana ) ; vistoria e aceito de financiamento. Acompanhei as fases pelo aplicativo , todas foram cumpridas e pedi o prazo do depósito do sinal . Me informaram que só fazem no final de 30 a 85 dias , após garantia da compra . Isto não é o escrito no contrato ; não cabe porque o sinal é garantia de compra e não desistência, com multa em dobro pro vendedor . Mas não posso ficar a mercê desta procrastinação do quinto andar , fazendo uma retenção indevida do sinal uma vez que minhas certidões e do apto foram aprovadas ."
Midway (Riachuelo),Colocaram meu nome nos orgãos de retrição ao credito
Casa & Vídeo,"Fiz o pedido de uma cafeteira na loja Casa Vídeo através da Shopee já fazem 14 dias e não me entregaram. Através do rastreio da prada praue o pedido está parado a 10 dias no mesmo lugar na transportadora. Fiz contato com a empresa e eles estão me IGNORANDO, não responde nada. Eles ainda são uma loja OFICIAL shopee, deveria ter um atendimento priorizado mas eles não respondem. A Shopee oferece reembolso do pedido mas eu comprei na promoção com desconto, se eu pedir reembolso eu não consigo comprar denovo, EU QUERO MEU PRODUTO."
Smiles,"Trabalho embarcado, o voo atrasou do desembarque da plataforma, cheguei no galeão, às 20h 30, não pude fazer o check in não o sistema não liberou, falei no balcão da gol disseram que não podia fazer nada, quem é cliente diamante o check in é feito automático dessa vez por erro do sistema não foi feito, peço que devolução das minhas minhas"
Latam Airlines (Tam),"Comprei 3 passagens com meu cartão de crédito latampass platinum, sendo dividido em duas reservas. Ida: Rio de Janeiro - Santiago - Lima - Havana. Volta: Havana - Lima - Rio de Janeiro. Por se tratar de quase uma volta ao mundo, eu resolvi marcar assentos antecipadamente. Ao marcar, me assustei com o valor final dos assentos, que por serem muitos, saiu bem caro. Na hora de abrir um incidente no reclame aqui, acabei mencionando apenas 1 das reservas, ou seja: meu pedido foi aceito (ASSENTOS ESCOLHIDOS PELA LATAM). Tenho 1,78m e já sei que vou sofrer nos voos. Pois tenho problemas de circulação e minha coluna não aguenta muito tempo num espaço apertado. Mas como foi a Latam que escolheu, vou aguardar ansiosamente minha viagem, pra ver como será isso. Meu pedido entretanto, foi pela metade. Eu apenas mencionei 1 das reservas. Então, a passageira da outra reserva, foi pedir para estender a ela também, mas foi NEGADO. NÃO SEI QUAIS SÃO OS CRITÉRIOS USADOS PELA LATAM, PARA DEFERIR UM PEDIDO E INDEFERIR OUTRO, SOB O MESMO FUNDAMENTO. Além disso, tentei comprar bagagem e passei pela MESMA SITUAÇÃO: A Latam não parcela. Talvez ache que quem viaja de avião é rico, num país onde mal dá para fazer a compra do mês. Tentei também argumentar, mas tive a negativa. Fato é que a Latam para convencer pessoas a terem o cartão de crédito, se esmeram. Mas também não esclarecem tudo. Se dissessem para o consumidor que só há o direito de parcelar a passagem (somente) e nada mais, nada mesmo, eu não teria adquirido. Pago uma anuidade de 708 reais. Pra mim, isso é dinheiro. Imagina só: a gente paga a passagem por R$ 3.087, e mais os assentos por volta de 500 reais + a bagagem por 332 reais, ou seja: quase 25% do valor da passagem vai em assentos e mala. E tá tudo bem para a Latam! A gente recebe uma resposta evasiva e pra mim até sarcástica, do tipo: não podemos te ajudar e boa sorte. Pesquisei bastante: vi que tem várias reclamações semelhantes a minha. Muitas. Ou seja: se a latam não faz propaganda enganosa, todos nós somos ignorantes. Encaminhei tudo para uma advogada, mas quero esgotar todos os meios administrativo, para mostrar ao Juiz, que eu respeito o Judiciário e a Latam, não."
Jusbrasil,"Eu já reclamei aqui e vou no Reclame Aqui e vocês estão me ignorando. Novamente , vou registrar nova reclamação. No dia 21/10/2024 , eu tentei baixar uma peça processual, veio uma opção de parar R$ 1,90 pela assinatura. Eu assinei com meu cartão Nubank as 16:53h. Ocorre que as 17:25, vocês lançaram uma assinatura de 58,90 no meu cartão. Eu não fiz essa assinatura, quero o estorno desse valor e meu dinheiro de volta. Cancela e me devolve meu dinheiro. Espero o estorno desse valor, caso contrario vou ter que acionar vocês na justiça. Adriana Ferreira Vilar. CPF XXX.XXX.XXX-XX.OAB/RJ 228500, login : :XXXXXXXXXXX@XXXXX.XXX"
Serasa Experian,Eles exibem minhas informações para empresas e colocam restrições no meu nome
Banco BV (antigo Banco Votorantim),"Em pesquisa realizada junto ao Banco Central, identifiquei que consta no registrato uma conta em minha titularidade. Não consigo realizar contato com está instituição financeira para confirmar e até mesmo, identificar uma possível fraude."
Samsung,Comprei esse s21 + 5g numa loja vivo em Maringá pr porém não consigo lembrar qual é preciso da nota fiscal. O IMEI é XXX.XXX.XXX-XX0112
Banco Bradesco,"Ligações todos os dias, procurando Jéssica, não conheço. Procurei saber sobrenome para saber quem era, pedi protocolo e não quiserem me passar porque eu não sabia o cpf da pessoa em questão para passar."
