Empresa,Relato,Avaliacao
Caixa Econômica Federal,prezados estou entrando em contato para exigir a retirada imediata do meu cpf do cadastro de inadimplentes no serasa visto que embora minha dívida com a caixa econômica federal estivesse inicialmente com vencimento em 05102024 e tenha sido quitada integralmente no dia 25102024 ainda permaneço negativado até a presente data 31102024. a permanência indevida da negativação após o pagamento integral do débito prejudica consideravelmente minha vida financeira e restringe meu acesso a crédito. dessa forma solicito que meu cpf seja removido imediatamente do cadastro de inadimplentes no serasa e que haja uma atualização dos sistemas de forma a refletir a quitação da dívida. aguardo retorno urgente e a pronta solução deste problema com a correção imediata do meu status cadastral.,4
Banco do Brasil,juros abusivos. a dívida ja prescreveu.,5
Nubank,tenho uma dívida de 2k no nubank e hj estão me cobrando 20k quero mandar proposta e o banco não aceita nem receber a proposta,1
Banco Bradesco,juros abusivos  cobranças absurda  dificuldade na liquidação do débito,5
Banco do Brasil,em 31102024 verifiquei a o extrato cartão de crédito na qual constava cobrança do serviço de cartão de credito no valor 24.57241 que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação.,1
Nubank,valores de débitos abusivos. não condizem com as diretrizes do banco central.,1
Banco do Brasil,meu cartão de crédito debitou altomatico do meu cheque especial quando me deparei c uma conta que chegou a 3 mil reias tentei parcelar a mesma porém ocorreu durante a época da pandemia paguei uma ou duas parcelas e n consegui pagar o restante passado algum tempo a dívida se encontra em trinta mil reias quero um estratos de evolução da dívida  no contrato ela era de 3 mil e chegou nos 30 mil,1
Nubank,bom dia tive limite de crédito inicial liberado de 50 reais no crédito e surgiu um limite extra através do uso de ifood e uber diretamente pelo app parceiro. com isso era liberado um limite adicional porém eu usei na faixa de r16000 reais nao liberou mais que isso. e o valor hoje já está em mais de r400,1
Banco do Brasil,gostaria que os órgãos responsáveis retirassem o meu nome do sistema de cobrança. por favor peço por gentileza a exclusão do meu nome,1
Nubank,solicito a retirada do meu nome de prejuizos,3
Mercado Pago,ao pagar uma dívida com desconto o banco enviou meu nome para o scr com o prejuízo e esta ne prejudicando a conseguir crédito se o banco quis fazer acordo comigo não posso ser prejudicado segundo entendimento do stj. solicito a imediata retirada do meu nome sob a restrição do mercado créditos sociedade de crédito financiamento investimento sa,5
Banco do Brasil,no dia 28102024 às 19h44 recebi uma notificação de uma compra realizada em meu cartão de crédito na empresa localiza no valor de r6.85350. imediatamente entrei no app do banco do brasil e bloqueei o cartão. na sequência às 20h liguei para o atendimento telefônico do banco e relatei que eu não reconhecia a compra. meu cartão foi bloqueado para transações online e fui informada de que a análise seria feita junto à financeira. contudo para minha surpresa na data de hoje entrou na fatura de meu cartão a primeira parcela da compra no valor de r1.14225. essa situação de compras não realizadas por mim já havia acontecido outras vezes no cartão do banco porém ao serem contestadas as parcelas nunca entraram em minha fatura. a responsabilidade pela minha segurança e proteção dos meus dados é do banco e eu não posso ser penalizada se houve vazamento dos meus dados e o banco não cumpriu seu dever de protegêlos. nesse sentido quero solicitar a exclusão das parcelas dessa compra de minha fatura imediatamente.,3
C6 Bank,fiz o pagamento de pendências no banco c6 conforme era informando no app. mesmo após o pagamento das pendências minha conta continua bloqueada. não consigo realizar transferências de pix. hoje 3110 recebi um pagamento por engano na conta do c6 e não consigo retirar esse dinheiro. é inacreditável segundo a ouvidoria eu ainda estou devendo mas não aparece nada no app. preciso do meu dinheiro. preciso pagar meu aluguel hoje e o dinheiro está preso no banco sem qualquer decisão judicial. caso minha pendência não seja resolvida a tempo vou entrar na justiça.,5
Banco do Brasil,prejuizo bancário. cobranças abusivas.,1
Banco do Brasil,eu fiz um acordo com o banco para quitar a minha divida. fui tentar simular um financiamento me liberarão porem constou meu nome na lista de prejuízo no banco centralregistrato  por meio deste canal venho pedir que meu nome possa ser retirado da lista do banco central  pois estou quite com tudo. pagamento foi a vista no pix. preciso que retirem o mais rápido possível para que eu possa dar continuidade em meu financiamento,5
Banco do Brasil,eu fiz um acordo com o banco para quitar a minha dívida. fui tentar fazer um novo empréstimo e não estão me liberando porque meu nome consta na prejuízo do banco central registrato. meu nome precisa ser retirado imediatamente,3
Nubank,já tentei por diversas vezes tirar meu nome tirar meu nome do relatório de lista de prejuízo bancário pois já paguei todas as pendências em meu nome e mesmo assim continua na lista de prejuízo mesmo após o pagamento pesso que exclusão do meu nome dessa lista imediatamente,1
Nubank,a instituição publicou meus dados no site registrato sem minha autorização e está me cobrando uma dívida com valores exorbitantes do valor real.,1
Nubank,minha dívida quadruplicou com juros abusivos,1
Nubank,prezados estou entrando em contato para expressar minha insatisfação com a situação do meu cartão de crédito bloqueado e com o registro de inadimplência no serasa ambos resultando dos juros elevados aplicados em minha dívida com o nubank. entendo a importância de manter as contas em dia mas devido aos juros que considero abusivos minha dívida se tornou difícil de quitar. gostaria de solicitar uma análise para renegociação das condições atuais possibilitando a redução dos juros e uma proposta de pagamento que seja mais viável. assim acredito que posso quitar a dívida e resolver essa situação de maneira que atende a ambas as partes. aguardo um retorno positivo para que possamos juntos encontrar a melhor solução. atenciosamente murillo,3
Nubank,preciso que enviem o descritivo completo de evolução da dívida do cartão de crédito.,1
Banco do Brasil,preciso entender o valor da minha dívida,1
Banco do Brasil,meu nome está no serasa sem minha autorização essa empresa privada está fazendo uso de meus dados sem minha permissão,1
Caixa Econômica Federal,que após várias tentativas ainda consta em relatório do banco central registro de prejuízo.,3
Banco do Brasil,olá gostaria de pagar minha dívida mas o valor está muito alto w não consigo,3
Caixa Econômica Federal,bom dia tudo bem informo que o meu cartão de débito da agência0359 conta poupançaxxxxxx vence hoje dia31102024 e eu ainda não recebi a 2via através dos correios. referenteao cartão de débitofinal2867,5
Banco do Brasil,em data verifiquei a o extrato  cartão de crédito  conta corrente na qual constava cobrança do serviço indique o serviço cobrado exemplo seguro título de capitalização etc no valor indique o valor da cobrança que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. descreva os contatos realizados com a empresa os indicando data horário e o atendimento recebido e informe se o valor contestado foi ou não pago,1
Nubank,a nubank tem me cobrado um juros absurdo na quitação da minha divida tentei diversas vezes uma negociação afim de pagar as dividas porem sem sucesso.,1
Nubank,nome colocado em órgãos de restrição ilegalidade total por conta da instituição,1
Nubank,preciso que a empresa me dê condições de renegociar valores em aberto porém no contato telefônico o juros é maior do que do aplicativo.,1
Banco Inter (Banco Intermedium),eu lucas de souza ribeiro devidamente qualificado venho por meio deste expor e requer o seguinte. eu era pertencente ao quadro de funcionário da secretaria de ciência tecnologia e inovação  secti cujo vinculo me permitiu acesso a um empréstimo consignado  emprestimo comum 1  5017 junto ao banco inter com valor de parcela mensal de r 86642 e um junto ao banco santander com valor de parcela mensal de r 45480 conforme demonstra o relatório anexo. no dia 10032024 após ser contratado pelo ibametro mediante matrícula 92114534 sob regime reda percebi que houve a unificação e lançamentos desses empréstimo bem como todos os demais consignados existentes e que o montante equiparase a equivalente ao valor do meu salário. os empréstimos suspensos foram reativados e projetados como lançamento futuro sem qualquer informação ou comunicação prévia o que contradiz o digesto consumerista. art. 6º são direitos básicos do consumidor iii  a informação adequada e clara sobre os diferentes produtos e serviços com especificação correta de quantidade características composição qualidade tributos incidentes e preço bem como sobre os riscos que apresentem redação dada pela lei nº 12.741 de 8.12.2012. não obstante acionei o banco inter através da central de relacionamento onde permaneci por mais de 60 minutos tendo a ligação interrompida sem retorno algum da instituição financeira até o presente horário. ocorre que a soma dos valores corresponde a um montante que compromete toda minha fonte de renda a qual é a minha única forma de sustento logo os descontos em sua totalidade trazem prejuízos imensuráveis e danosos à minha integridade saúde e alimentação além de me gerar ansiedade e angústia. visto isto solicito desta instituição renegociação e acordo para viabilizar pagamento coerente e dentro da minha capacidade financeira sem infringir o permitido por lei para desconto sobre as remunerações e salários correspondente a 30. no mais agradeço pela compreensão.,1
Nubank,gastei um valor no cartão de crédito e não tive condições de pagar avista tentei fazer o parcelamento antes do vencimento da fatura e lá aparecia como se meu gasto fosse maior ainda colocaram mais juros em cima um juros absurdo por sinal após o vencimento da fatura esse juros só aumentou tanto que está mais do que o dobro do valor da dívida em menos de 3 meses,1
Banco Santander,consta dívida vencida sendo q meu acordo está em dia,1
Banco Santander,eu fui ao banco no dia 2810 na agência 001330 peguei a senha d1515 quando fui atendida era para resolver o outro chamado que já consta em aberto aqui 2024.10xxx.xxx.xxxxx porém além de não resolver o meu problema o atendente me informou que tinha que colocar a senha se motivo aparente e quando chego em casa simples tem um título de capitalização que eu não pedi eu não vou pagar antecipe a fatura no dia 2110 e agora tem fatura em aberto no valor de r 10000 o funcionário agiu de má fé.,5
Nubank,preciso do descritivo de evolução da minha dívida,1
Nubank,utilizava o cartão do nubank e por vezes atrasava o pagamento por falta de renda. no entanto mesmo atrasando buscava meios de pagar as faturas e os juros eram justos e ok. alteraram a forma como cobram os juros e a dívida ficou estratosférica sem dar nenhuma condição ao cliente de ficar no azul. em outra instituição financeira que tinha uma dívida inicial semelhante ao do nubank os valores eram bem mais baixos que o do nubank para um período de tempo semelhante. além disso essa outra instituição oferecia condições para auxiliar na quitação da dívida coisa que o nubank não faz. embora parte do problema seja culpa minha por atrasar por falta de trabalho e dinheiro não faz sentido nenhum o valor inicial da dívida e o valor atual de mais de 10 mil reais. se desempregado já era difícil pagar a dívida original de menos de 300 reais como eu teria condição de pagar 10 mil já tentei ligar e mandar mensagens e a resposta nunca muda ou seja não estão interessados se as condições estão fora da realidade para o cliente. no feirão limpa nome do serasa imaginei que fosse haver uma proposta coerente mas insistem em acordo que sabem há meses que eu não tenho condições de pagar.,1
Nubank,em 30102024 verifiquei o extrato na qual ainda constava cobrança de valores muito acima do que devia no valor r 17.51200 que por mim não é reconhecido haja vista é juros sobre juros e muito alto. a nubank não responde a nenhuma proposta de pagamento do valor real não aceitam acordo e continua a me negativar perante os bancos.,1
Banco do Brasil,meu nome esta sujo no registrato mesmo eu estando sem pendencias com o banco.,5
Banco Santander,paguei e meu nome foi pra prejuízo,1
C6 Bank,fiz um investimento pra poder usar o cartão de crédito fiz dois pagamentos para gerar saldo e não foi debitado o valor do cartão que eu tinha pra pagar com o investimento como foi feito todos os meses gerando um juros no mês seguinte de 300 reais como iria pagar algo sendo que só tinha o saldo no dinheiro investido e eles não deixam sacar,1
Nubank,em data verifiquei a o extrato  cartão de crédito  conta corrente na qual constava cobrança do serviço indique o serviço cobrado exemplo seguro título de capitalização etc no valor indique o valor da cobrança que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. descreva os contatos realizados com a empresa os indicando data horário e o atendimento recebido e informe se o valor contestado foi ou não pago,1
Nubank,ao pagar uma divida com desconto o banco enviou meu nome pro src como prejuizo e esta me prejudicando a conseguir credito. se o banco quis fazer o acordo comigo nao posso ser prejudicado segundo entedimento do stj. solicito a imediata retirada do meu nome do registrato.,3
Nubank,minha divida era r432335 e hoje esta em r1064941 fiz renegociação e percebo que há juros acima da media do banco central na evolição da divida. juros abusivos não consigo prosseguir pagando.,1
Nubank,retirar restrições registrato  banco central a dívida já foi paga no site do serasa o site retirou as restrições porém está constando no registrato  banco central gostaria que retirassem as restrições já que foi paga a dívida.,5
Banco do Brasil,solicito tirar meu nome do relatório de prejuízo do registrato,4
Nubank,boa noite tenho uma divida com o nu bank porém fui verificar o valor para um possível acordo no serasa mas o valor está altíssimo. gostaria de solicitar um descritivo da evolução dessa dívida.,1
Banco Itaú Unibanco,preciso do descritivo de evolução da minha dívida no cheque especial.,1
Nubank,tentei por varias vezes negociar com o banco mas o mesmo n aceita minha condição para pagar a divida. a gerou um relatorio de pejuizo no bacen,5
Nubank,desejo detalhamento da divida com os juros multas e correções,5
Nubank,quero pagar e nao consigo contato ja fiz propostas para quitacao mas nao retiram o juros. estou negativado sem poder de compra com boas intencoes de pagamento mas sem flexibilidade do banco. desconto para quitação e flexibilidade oferta de datas para pagamento.,1
Nubank,boa noite tudo bom venho solicitar a analise do meu cadastro para aumento de limite do meu cartão e a disponibilidade de emprestimo pessoal possuo essa conta e esse cartão a mais de dois anos e nunca aumenta o limite e o emprestimo que e liberado e apenas de r 1 mil que está disponivel um dia no outro já não está esses limites são incompativeis com minha renda. segue em anexo extrato bancário do principal banco que utilizo o santander caso precise de mas meses e só informar.,1
Banco do Brasil,segue pedido para fazer cumprir resolução 4790 do bacen. tentei conseguir na agência e tive atendimento negado,5
Mercado Pago,eu procurei o atendimento na sessão ajuda do aplicativo então fui transferida para o whatsapp. um rapaz chamado anízio trajano que me atendeu. pergunte a ele sobre vencimento do cartãoque eu gostaria de saber se que se eu mudasse a data do cartão em uma determinada data o vencimento seria em dezembro. nisso ele sumiu demorou muito para responder quando voltou voltou com as mesmas questões que eu já tinha falado com ele coisas que eu já sabia. então eu falei para ele que ele não tava me explicando nada de novo que tudo que ele tava falando eu já sabia porque o atendimento virtual já tinha me falado ele continua repetindo a mesma coisa que o atendimento virtual já tinha me falado. então do nada ele encerrou o chat dizendo que as informações já tinham sido passada me deixou falando sozinha por enquanto ainda estava escrevendo a mensagem chegou escreveu um monte para explicar ele porque eu queria saber e ele foi lá e me deixou falando sozinha. encerrou o chat. isso é uma falta de educação com cliente porque o mercado pago contrata esse negócio de home office e quem fica sofrendo é o cliente todas as vezes que eu fui atendida pelo home office do mercado pago nunca fui bem atendida dessa vez eu resolvi reclamar porque eu estou muito magoada com o cliente. simplesmente me deixou falando sozinha sobre uma situação importante.porque se eu não pagar o cartão na data aí fica ruim para mim né. em toda minha vida em 34 anos 35mês que vem nunca no atendimento me deixou falando sozinha com uma dúvida. eu estou muito decepcionada com essa equipe do mercado pago. é muito triste do jeito que estão tratando do cliente. eu espero que possa melhorar porque não é a primeira vez que eu sou tratada a mão só que das outras vezes pelo menos espera eu acabar e pergunta se eu ainda tenho alguma dúvida mas dessa vez foi demais. como uma empresa tem coragem de tratar o cliente dessa forma só deixando uma dentro aqui que no meio da conversa eu avise a ele que ele não tinha me explicado direito e que se ele não me explicasse eu ia fazer uma reclamação aqui mesmo assim ele não fez nada continuou repetindo as mesmas coisas que eu já sabia e me deixou falando sozinha para finalizar.,5
Banco Bradesco,dívida tem mais de 5 anos e ainda conta nos serviços de proteção ao crédito,1
Banco do Brasil,me encontro super endividada e possuo emprestimos debitados na minha conta corrente que vem comprometendo minha renda por isso quero pedir a suspensão dos descontos da minha conta corrente com base da resolução 4.790com base 7.239 com base tema 1085 bancários,4
Nubank,os juros não condiz. muito altos. não tenho condição de pagar,5
Banco do Brasil,realizei um acordo de uma dívida de credito automático e credito salario do banco do brasil através do programa desenrola brasil do serasa.,2
Caixa Econômica Federal,descobri que tenho essa dívida na semana passada e estou totalmente interessado à quitala. de imediato preciso que o banco me disponibilize o boleto. e não consegui isso na agência nem nos meios online,5
Nubank,a dívida era 900 e uns quebradose tornou 978100 quero renegociar porém com um preço mais justotenho a boa fé de arcaragora que estou me estabilizandomesmo estando em 4 mil ainda acho injusto,3
Nubank,a nubank incluiu no registrato do banco central sem minha autorização. procurei a nubank em seus canais de contato e liguei para o mesmo solicitando a exclusão do registro no registrato do banco central no valor de r 27506 registro este que aparece como prejuízo. a nubank se recusou a fazer e se recusou a fornecer número de protocólo.,1
Nubank,contratei um emprestimo no valor de 2.000 no aplicativo esta em 28.000 fui renegociar no serasa e esta indo para 6.000 a divida e pelo aplicativo deles esta indo para 5.500,1
Caixa Econômica Federal,em 30102024 verifiquei a o extrato cartão de crédito  conta corrente na qual constava cobrança do serviço indique o serviço cobrado exemplo seguro título de capitalização etc no valor r 1.82922 que por mim não é reconhecido pois eu não solicitei e não autorizei a contratação. esses valores se encontram no site do bacen.,5
Caixa Econômica Federal,prezados conforme resolução nº 4.790 de 26 de março de 2020 capítulo iv solicito que seja definitivamente cancelada toda e qualquer autorização de desconto automático em conta de qualquer natureza salário corrente ou poupança. capítulo iv do cancelamento da autorização de débitos art. 6º é assegurado ao titular da conta o direito de cancelar a autorização de débitos. parágrafo único. o cancelamento da autorização de débitos em conta pode ser formalizado na instituição depositária ou por meio da instituição destinatária. para evitar maiores transtornos de conflito entre resoluções reforço que antes da vigência da resolução 47902020 tínhamos em plenos efeitos a resolução 36952009 que inclusive serviu como base para a resolução do ano de 2020 resolução bacen nº 3.695 de 26032009 art. 3º é vedada às instituições financeiras a realização de débitos em contas de depósitos sem prévia autorização do cliente.  1º a autorização referida no caput deve ser fornecida por escrito ou por meio eletrônico com estipulação de prazo de validade que poderá ser indeterminado admitida a sua previsão no próprio instrumento contratual de abertura da conta de depósitos.  2º o cancelamento da autorização referida no caput deve surtir efeito a partir da data definida pelo cliente ou na sua falta a partir da data do recebimento pela instituição financeira do pedido pertinente dessa forma desde 2009 temos resoluções do banco central do brasil que autorizam o cancelamento de débito automático em conta. portanto reforço que antes de qualquer negativa os senhores avaliem e remetam esse pedido às áreas superiores do banco e aqui reforço meu pedido solicito o cancelamento de todos os débitos automáticos realizados em minha conta corrente salário ou poupança referente a contratos firmados após o ano de 2009. solicito também por meio deste requerimento que todos os meus contratos de característica de crédito direto ao consumidor sem consignação em folha de pagamento tenham suas autorizações de débito em conta canceladas e que a partir da próxima parcela eu tenha o direito de pagar as referidas parcelas via boleto bancário ou diretamente na boca do caixa de qualquer agência da instituição. é do meu conhecimento que apesar das incontáveis decisões judiciais que garantem esse direito ao consumidor os bancos negam tal solicitação então quero reforçar que tenho pleno conhecimento da existência da resolução n.º 4790 do bacen da resolução nº 3.695 de 26032009 e que a qualquer tempo posso cancelar uma solicitação anterior de autorização de débito em conta.,4
Banco do Brasil,minha reclamação é que hoje não tenho condições de acertar minha divida com a instituição por que os valores que ja propuseram não cabe no meu orçamento devido ao desemprego e agora por estar aposentado as propostas do banco são muito altas. a minha insatisfação ainda mesmo sendo que ainda não fizeram nenhuma proposta de quitação e hoje não consigo fazer um cartão de compra que consta meu nome negativado.,4
Banco do Brasil,realizei a negociação de dois débitos que possuía junto ao banco do brasil que estava negativando meu nome no spc e serasarealizei o pagamento da primeira parcela solicito a retirada do meu nome nos órgãos de proteção e solicito também a retirada do meu nome do registrato no bacen visto que parcelei minha dívida pois isso está me impedindo de ter acesso a crédito em outras instituições.,5
Mercado Pago,pedido enviado em 1out a instituição recebedora só encontrou parte do valor análise concluída devolvido parcialmente parte de r 80000 foi recuperada atualizado em 3out às 0h16. detalhes do pedido valor da transação r 80000 número de operação xxx.xxx.xxxxx nome do recebedor ellen victoria cardoso de lima instituição recebedora banco inter s.a. motivo da denúncia sofri um golpe estelionato,1
Nubank,prezada equipe do nubank gostaria de registrar uma reclamação em relação à situação do meu nome no relatório de empréstimos e financiamentos scr do banco central. já quitei todas as dívidas que tinha com o nubank mas mesmo assim meu nome ainda consta no scr o que tem causado transtornos em minhas atividades financeiras. para ilustrar gostaria de citar a experiência que tive com o banco will bank. após quitar minha dívida com eles meu nome foi retirado do scr de forma rápida e eficiente no mês seguinte. esse tipo de agilidade e comprometimento com o cliente é algo que espero do nubank também. peço que verifiquem essa situação com urgência e que providenciem a atualização do meu cadastro. agradeço desde já pela atenção e aguardo uma resposta.,1
Mercado Pago,minha conta mercado pago e mercado livre foram suspensas por nenhum motivo. alegaram atividade suspeita em minha conta e eu dependo do uso da conta e do cartão no dia a dia. e para trabalhar principalmente. meu dinheiro foi retido desde setembro e já entrei em contato várias vezes e pedi que liberassem mas sem sucesso não conseguia usar a conta e agora não consigo usar nem mesmo meu cartão de crédito. me proibiram de inclusive comprar no mercado livre coisa que sempre fiz com frequência e acredito que seja errado por lei me proibir de comprar lá sem nenhum motivo.,1
Nubank,há quase dois anos sou cliente do banco nubank sempre paguei as faturas em dias porém em setembro2024 passei por algumas dificuldades financeiras quando paguei o valor minimo da fatura de r 21700 doc. 01 e parcelei o restante das faturas pois não tive outra solução o qual ficou no valor de r 6.203.18 parcelado em 8 x 77500. doc.01 . e após analizando a fatuta com calma notei que as unicas parcelas totais e em aberto para quitação total da divida era de r 1.18542. referente as seguintes parcelas. 2 x 24575 r 10000 r 4460 2 x 13837 e 2 x 13628. o que totalizam r 1.18542. liguei e argumentei o motivo de estarem me cobrando de juros mais de 400 sobre o valor real da divida e solicitei o extrato de toda minha divida e a taxa de juros cobrado porém recusaram. em ligação para quitação antecipada do debito total estes estão cobrando a importancia de r 4.05101 ou seja quase 300 de juros mesmo com a antecipação total do debito algo extremante abusivo. 3 requer o extrato detalhado de todas as parcelas em aberto da fatura do cartão,1
Caixa Econômica Federal,no dia 24102024 as 1015 recebi uma ligação do numero 75 xxxxxx524 com voz feminna se passando por funcionaria da agencia da caixa economica federal da minha conta poupança informando que tinha identificado uma transação de valor de r 97700 e se eu reconhecia respondi que nao. informou em seguida que para efetuar o bloqueio iria me transferir para falar com a central de segurança do banco caixa econômica federal no numero 011 91202 4282. outra pessoa atendeu pelo nome de ricardo rodriues e já passando a informaçao que iria precisar fazer uma auditoria antifraude para que fosse bloqueada a operação. o mesmo já mencionou que havia uma outra transação de pagamento agendado na minha conta no valor de r 29.90000  onde eu precisava acessar o aplicativo do banco para fazer o cancelamento. só que eu nao autorizeis nenhuma transação e nem o aumento do meu limite de transferência  pois verifiquei que já tinha sido alterado por algum acesso de outro equipamento houve uma invasão cibernetica no meu aplicativo pois nesse momento verifiquei que ele acessou a minha conta e fez a transferencia no valor de r 29.90000 da minha conta para outra conta de banco digital pagseguro sa em nome de ruan fernandes dos santos  cnpj 57769.780 xxxxxx6. posteriormente ele já informou que havia tambem outra transação no valor de r 5.90000 em nome de victor hugo de carvalho a qual foi rejeitada pelo banco. em seguida ao tentar acessar mminha conta verifiquei que a senha de assinatura eletrônica havia sido bloqueada e imediamente a ligação foi encerrada pelo golpista fraudador ricardo. fui vitima de um golpe cibernético e imediatamente procurei a agencia da caixa economica mais proxima para comunicar o fato e abrir o processo de contestação.,1
Banco do Brasil,venho por meio deste solicitar a revisão da decisão de reduzir o limite do meu cartão de crédito para r000 limite que anteriormente era de r30.00000. esta ação foi tomada pelo banco do brasil sem qualquer aviso prévio ou justificativa clara sobre o motivo para tal redução o que me causou constrangimentos e dificuldades em gerenciar compromissos financeiros previamente assumidos.,3
Banco do Brasil,olá pessoal do bb estou abrindo essa reclamação pois preciso de uma resposta formal do banco para uma situação um pouco complicada. no dia 08102024 houve um pagamento de débito automático na minha conta no valor de r2.16441 para a imobiliária predial leindecker. o pagamento estava previsto para ocorrer no dia 05 mas dia 05 era sábado dia 06 domingo e no dia 07 existe um feriado municipal na cidade de abertura de conta portanto o sistema do bb apenas processou o pagamento no dia 08. a imobiliária está me cobrando uma multa por atraso ela alega que apenas feriados nacionais são passíveis de estorno mesmo comigo alegando que como aderente ao débito automático não tenho autonomia sobre a data do débito em si apenas consigo bloquear ou liberar algum pagamento em minha conta o que nos leva ao pedido no campo subsequente.,5
Nubank,boa tarde está virando vício oculto o meu cartão de débito ou crédito por este banco todas as vezes que venha fazer uma transação via débito  m8nhas compras não é aprovada mesmo com dinheiro na conta. estou ficando chateado com esta situação outra coisa bloquear sem o meu conhecimento bloquear na hora que vou comprar qualquer coisa qualquer valor já fiz diversas reclamações mas parecem que fazem de ouvidos mercador.,1
Nubank,wagner barbosa da silva  cpf xxx.xxx.xxxxx telefone xxx.xxx.xxxxx estou reclamando desse banco pos esta informando outra intituição que estou defedor com ela e nao reconheço divida e sim cartao de credito que esta sendo pago agencia 0001 conta xxxxxx banco 0260 nu pagamento s.a estou tentando sem nem uma responbdo estou temtando efeituar o pagamento para caixa economia sem nem hum sucessso quero que estas intituições retirem esta dividas do meu nome,1
Banco Itaú Unibanco,não apareceu nada no app  na agência diz que não tem nada devendo lá venderam para uma outra empresa de cobrança.,5
Nubank,preciso do descritivo de evolução da minha dívida.,1
Caixa Econômica Federal,tenho conta salario e conta poupança caixa tem nunca acessei a conta salario ou tive o cartão dessa conta e a caixa tem é muito limitado.,5
Caixa Econômica Federal,estava pagando o boleto do meu consórcio caixa e por consequência acabei pagando um boleto do financiamento imobiliário que está em débito automático para prestação de 10102024 que já foi pago  anexo. sendo assim estornar o valor de r 1.03988 ou efetuar o pagamento para a parcela de r 1.12037 a vencer em 18112024. aguardo retorno.,5
Banco Inter (Banco Intermedium),preciso do descritivo de evolucao da minha divida.,1
Nubank,preciso do descritivo de evolução da minha dívida.,1
Nubank,preciso do descritivo de evolução da minha dívida.,1
Nubank,prezados conforme o aviso de superendividamento enviado previamente sob o número de protocolo 2024.10xxx.xxx.xxxxx desejo oficializar meu pedido de reestruturação financeira diretamente pelo procon e pelo banco central do brasil bacen. mesmo após tentativas anteriores por contato telefônico e pessoalmente na agência não consegui sucesso dado que as ofertas propostas não estão alinhadas à minha condição atual de elevado endividamento impossibilitando a quitação dos montantes sugeridos. sei que os bancos tendem a pedir para que o procon recuse tal demanda mas neste pedido estou seguindo a exata recomendação dada nos moldes do código de defesa do consumidor atualizado pela lei 14.181 em seu artigo 104c.,5
Banco Bradesco,prezados bom dia. entrei em contato com o sac como também fui na agência mas não consegui um retorno positivo. ocorre que consta no meu registrato uma conta no bradesco a qual tenho conhecimento pois abri a conta em 2009 ou 2010 contudo não utilizo a referida a conta por mais de 8 anos. assim entrei em contato com o sac como também pela agência e me foi negado o encerramento da referida informando que era necessário apresentar os dados da conta bancária o que não tenho mais. contudo para provar o próprio relatório do banco central consta ativo a referida conta bancária mas mesmo assim a resposta foi negativa.,5
Caixa Econômica Federal,a fatura de outubro que deveria ser paga até o dia 8112024 fecharia ontem 2910 porém ao acessar o app da caixa ou o app cartoes caixa aparece o valor total da fatura de outubro e todos os lançamentos da fatura de novembro a ser paga em dezembro2024. no caso está acumulando os valores. eu em nenhum momento solicitei ou autorizei a antecipação de parcelas por exemplo. já solicitei a correção da fatura desse mês para que eu possa fazer o pagamento até o dia 81124. eu recebi um sms da caixa informando o valor total da fatura com vencimento no dia 811 de valor de r 1.52306 porém no app da caixa aparece o valor acumulado de r 2.600 74. eu não recebi via email o boleto para pagamento da fatura. é a segunda vez esse ano que acontece isso. aguardo solução para o problema.,4
Banco do Brasil,recebi uma oferta para upgrade do meu cartão de credito com isenção de anuidade possuo o mesmo há mais de um ano. fui verificar a fatura e há uma cobrança indevida de anuidade e me informaram que nada poderiam fazer. solicitei o cancelamento do cartão e seguirei com o cancelamento do relacionamento com o banco sou cliente há mais de 20 anos.,5
Banco Bradesco,infelizmente devido a uma dificuldade financeira foi gerado um debito referente a um credito que tinha em conta. porem agora pretendo quitar o debito mas os juros estao altos impossibilitando a quitação do mesmo.,2
Nubank,desejo que essa divida seja resolvida,1
Banco do Brasil,constam valore no banco central em prejuizo a mais de 5 anos onde ja paguei o acordo feito gostaria de desconsiderar esses valores em prejuizo no banco central conforme relatório anexo.,5
Nubank,preciso do descritivo de evolução da dívida.,1
Nubank,solicito gentilmente demonstrativo de evolução da dívida de cartão de crédito que soma até o momento r 134.94620 cento e trinta e quatro mil novecentos e quarenta e seis reais e vinte centavos.,3
Caixa Econômica Federal,estou tentando pagar minha dívida com o banco referente ao cartão de crédito mas não recebo retorno dizem que vão mandar proposta pelo email e não enviam. não estou conseguindo obter o atendimento adequado para resolver o problema e poder quitar a dívida.,1
